TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
02:20,NAROK,MALTAURO,2016-06-16,NAROK MAIMAHIU,THE CAR LOST CONTROL AND LANDED INTO A DITCH,CAR,DRIVER FAULT,NIGHT,OTHER
20:15,KERICHO,NGOINA JUNCTION,2016-06-16,NGOINA BURET,THE CAR WAS OVERTAKING UNKNOWN CAR HENCE COLLIDED HEAD ON WITH THE PETROL TRUCK,CAR,HEAD ON,EVENING,OTHER
09:30,MOMBASA,WAYANI AREA,2016-06-15,MAINLAND JOMVU,HEAD ON COLLISION,CAR,HEAD ON,MORNING,OTHER
18:00,NAIROBI,CHINESE CONSTRUCTION SITE,2016-06-15,SOUTHERN BY PASS,THE BUS KNOCKED DOWN THE PERSON WHO WAS CROSSING THE ROAD,BUS,VICTIM FAULT,EVENING,A104S
19:30,UASIN GISHU,LESSOS AREA,2016-06-15,KAPSABET ELDORET,THE TRACTOR LOST CONTROL AND HIT A PERSON,TRACTOR,UNKNOWN,EVENING,OTHER
20:30,NAKURU,KAHURUKO,2016-06-15,GACHUMA ELEMENTAITA,THE DRIVER FELL DOWN AND WAS RUN OVER BY THE REAR RIGHT WHEEL,CAR,UNKNOWN,EVENING,OTHER
12:10,EMBU,KIMBIMBI,2016-06-14,MWEA EMBU,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,AFTERNOON,OTHER
09:00,TAITA TAVETA,MACKINON,2016-06-14,NAIROBI MOMBASA,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,MORNING,A109
17:00,KISII,RIBUOKA AREA,2016-06-14,SOTIK KEROKA,HEAD ON COLLISION,CAR,HEAD ON,EVENING,OTHER
17:30,NAKURU,GREENSTEAD SCHOOL,2016-06-14,NAKURU GILGIL,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,OTHER
18:30,NAIROBI,NEAR NAKUMATT,2016-06-14,NORTH AIRPORT,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,EVENING,OTHER
01:00,NAIROBI,NDUNYU,2016-06-14,SOUTHERN BY PASS,THE CAR LOST CONTROL AND VEERED OFF THE ROAD,CAR,UNKNOWN,NIGHT,A104S
23:50,KAJIADO,ST.PATRICK,2016-06-14,MAGADI KISERIAN,HEAD ON COLLISION,CAR,HEAD ON,NIGHT,OTHER
18:30,NAKURU,MANDERA HOUSE,2016-06-14,NAKURU NAIROBI,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,A104
19:00,MAKUENI,NGAAMA JUNCTION,2016-06-13,NAIROBI MOMBASA,THE TRAILER RAMMED INTO THE RARE OF THE MOTORCYCLE,TRAILER,UNKNOWN,EVENING,A109
20:00,NAIROBI,NEAR GENERAL MOTORS,2016-06-13,NAIROBI MOMBASA,THE CAR KNOCKED DOWN THE PERSON WHO WAS CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,A109
20:20,KAKAMEGA,GITOMBU AREA,2016-06-13,SIAYA LUANDA,THE MATATU HIT A MOTORCYCLE,MATATU,UNKNOWN,EVENING,OTHER
19:45,KILIFI,MWAMBA NYUNDO AREA,2016-06-13,MARIAKANI KALOLENI,"THE CAR LOST CONTROL, VEERED OFF THE ROAD AND KNOCKED DOWN A PERSON WHO WAS WALKING ASIDE THE ROAD",CAR,DRIVER FAULT,EVENING,OTHER
06:30,NAIROBI,NEAR MOWLEMROAD JUNCTION,2016-06-12,KANGUNDO,THE BICYCLE LOST CONTROL AND FELL DOWN,BICYCLE,MECHANICAL FAULT,MORNING,OTHER
